Size,NumThread,Thread,Latency,,,,
8192000B,8,2, 58.16ns,,,,
8192000B,8,5, 52.24ns,,,,
8192000B,16,4, 55.35ns,,,,
8192000B,16,14, 54.83ns,,,,
8192000B,16,10, 53.94ns,,,,
8192000B,16,9, 55.63ns,,,,
8192000B,16,6, 52.71ns,,,,
8192000B,16,11, 53.67ns,,,,
8192000B,16,3, 56.14ns,,,,
8192000B,16,1, 55.53ns,,,,
8192000B,16,5, 55.41ns,,,,
8192000B,16,0, 55.68ns,,,,
8192000B,16,13, 53.72ns,,,,
8192000B,16,8, 53.91ns,,,,
8192000B,16,15, 52.35ns,,,,
8192000B,16,12, 53.31ns,,,,
8192000B,16,7, 52.55ns,,,,
8192000B,16,2, 52.53ns,,,,
16384000B,1,0, 66.54ns,,,,
16384000B,2,0, 71.45ns,,,,
16384000B,2,1, 59.86ns,,,,
16384000B,4,3, 52.72ns,,,,
16384000B,4,1, 48.49ns,,,,
16384000B,4,2, 61.96ns,,,,
16384000B,4,0, 41.79ns,,,,
16384000B,8,1, 64.34ns,,,,
16384000B,8,7, 61.40ns,,,,
16384000B,8,5, 59.84ns,,,,
16384000B,8,4, 58.62ns,,,,
16384000B,8,3, 60.05ns,,,,
16384000B,8,2, 56.46ns,,,,
16384000B,8,6, 53.02ns,,,,
16384000B,8,0, 64.02ns,,,,
16384000B,16,1, 60.84ns,,,,
16384000B,16,10, 58.68ns,,,,
16384000B,16,15, 53.18ns,,,,
16384000B,16,2, 57.42ns,,,,
16384000B,16,12, 56.30ns,,,,
16384000B,16,14, 59.28ns,,,,
16384000B,16,13, 57.15ns,,,,
16384000B,16,11, 57.39ns,,,,
16384000B,16,8, 55.65ns,,,,
16384000B,16,4, 59.24ns,,,,
16384000B,16,3, 57.24ns,,,,
16384000B,16,6, 60.40ns,,,,
16384000B,16,5, 59.30ns,,,,
16384000B,16,9, 57.68ns,,,,
16384000B,16,0, 58.68ns,,,,
16384000B,16,7, 56.89ns,,,,
,,,,,,,
,,,,,,,
,,,,,,,
